"periodo_mens","expo_valor","valor_acum"
"2012-01-01",11955397,11955397
"2012-02-01",66070151,78025548
"2012-03-01",75202987,153228535
"2012-04-01",51044535,204273070
"2012-05-01",45958129,250231199
"2012-06-01",27139196,277370395
"2012-07-01",20182511,297552906
"2012-08-01",13458617,311011523
"2012-09-01",16524465,327535988
"2012-10-01",17382706,344918694
"2012-11-01",11955772,356874466
"2012-12-01",7361954,364236420
"2013-01-01",10992093,10992093
"2013-02-01",80552389,91544482
"2013-03-01",102631552,194176034
"2013-04-01",68772762,262948796
"2013-05-01",52028282,314977078
"2013-06-01",31140872,346117950
"2013-07-01",20667044,366784994
"2013-08-01",12977060,379762054
"2013-09-01",13678240,393440294
"2013-10-01",10061426,403501720
"2013-11-01",10635107,414136827
"2013-12-01",7928468,422065295
"2014-01-01",12520837,12520837
"2014-02-01",66639609,79160446
"2014-03-01",89265512,168425958
"2014-04-01",61021755,229447713
"2014-05-01",47847579,277295292
"2014-06-01",22738884,300034176
"2014-07-01",17746187,317780363
"2014-08-01",18928936,336709299
"2014-09-01",13496710,350206009
"2014-10-01",11436864,361642873
"2014-11-01",10440225,372083098
"2014-12-01",7218746,379301844
"2015-01-01",7607831,7607831
"2015-02-01",54024919,61632750
"2015-03-01",63272787,124905537
"2015-04-01",50791482,175697019
"2015-05-01",27131050,202828069
"2015-06-01",18947951,221776020
"2015-07-01",16745247,238521267
"2015-08-01",12115236,250636503
"2015-09-01",10930417,261566920
"2015-10-01",8192887,269759807
"2015-11-01",7292754,277052561
"2015-12-01",6073297,283125858
"2016-01-01",6142898,6142898
"2016-02-01",43554007,49696905
"2016-03-01",68811287,118508192
"2016-04-01",47579604,166087796
"2016-05-01",31127581,197215377
"2016-06-01",15578632,212794009
"2016-07-01",14243227,227037236
"2016-08-01",11034443,238071679
"2016-09-01",7867529,245939208
"2016-10-01",8909991,254849199
"2016-11-01",9087664,263936863
"2016-12-01",6166673,270103536
"2017-01-01",9325663,9325663
"2017-02-01",59068327,68393990
"2017-03-01",52602024,120996014
"2017-04-01",41762799,162758813
"2017-05-01",26286156,189044969
"2017-06-01",17795342,206840311
"2017-07-01",14145095,220985406
"2017-08-01",9634515,230619921
"2017-09-01",7058344,237678265
"2017-10-01",6615031,244293296
"2017-11-01",7818643,252111939
"2017-12-01",4859695,256971634
"2018-01-01",9831440,9831440
"2018-02-01",61492424,71323864
"2018-03-01",75425820,146749684
"2018-04-01",40104019,186853703
"2018-05-01",29167454,216021157
"2018-06-01",15995478,232016635
"2018-07-01",12432013,244448648
"2018-08-01",10905089,255353737
"2018-09-01",8570684,263924421
"2018-10-01",9578285,273502706
"2018-11-01",6497834,280000540
"2018-12-01",6336271,286336811
"2019-01-01",5975679,5975679
"2019-02-01",46924180,52899859
"2019-03-01",46371675,99271534
"2019-04-01",34279734,133551268
"2019-05-01",25990253,159541521
"2019-06-01",15870487,175412008
"2019-07-01",14284439,189696447
"2019-08-01",12133249,201829696
"2019-09-01",8936759,210766455
"2019-10-01",7380787,218147242
"2019-11-01",8769610,226916852
"2019-12-01",4963142,231879994
"2020-01-01",7423954,7423954
"2020-02-01",50093236,57517190
"2020-03-01",56800537,114317727
"2020-04-01",30957215,145274942
"2020-05-01",23433215,168708157
"2020-06-01",17324149,186032306
"2020-07-01",13020305,199052611
"2020-08-01",12169969,211222580
"2020-09-01",10275069,221497649
"2020-10-01",10891290,232388939
"2020-11-01",8235320,240624259
"2020-12-01",4432237,245056496
"2021-01-01",10314000,10314000
"2021-02-01",40160000,50474000
"2021-03-01",42638000,93112000
"2021-04-01",31647000,124759000
"2021-05-01",28642000,153401000
"2021-06-01",16377000,169778000
"2021-07-01",11344000,181122000
"2021-08-01",9582000,190704000
"2021-09-01",7786000,198490000
"2021-10-01",7043000,205533000
"2021-11-01",5745000,211278000
"2021-12-01",4879000,216157000
"2022-01-01",7132000,7132000
"2022-02-01",44235000,51367000
